School Name,Location,School Year,Within District Boundary,Reported,Grade Levels,Total Enrollment,COMPLETE,EXEMPT,Medical Exemption,Personal Exemption,Religious Exemption,Religious Membership Exemption,Exempt DT,Exempt Pertussis,Exempt MMR,Exempt Polio,Exempt Hep B,Exempt Varicella,Location 1
HERITAGE CHRISTIAN ACADEMY,"19527 104TH AVE NE, BOTHELL, WA",2016-17,NORTHSHORE SCHOOL DISTRICT,Y,P-9,369,85.9,2.7,0,2.7,0,0,3,3,3.5,3.5,4.1,4.3,"19527 104TH AVE NE
BOTHELL
(47.7697608, -122.2027189)"
CARSON ELEMENTARY,"1035 - 244TH AVE NE, SAMMAMISH, WA",2016-17,LAKE WASHINGTON SCHOOL DISTRICT,Y,K -5,443,91.2,6.1,2.3,3.6,0.2,0,3.6,3.6,3.2,3.2,4.1,3.8,"1035 - 244TH AVE NE
SAMMAMISH
(47.6192904, -122.0155399)"
VALLEY SCHOOL,"309 31ST AVE E, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,P-5,101,97,3,0,3,0,0,1,1,1,3,3,2,"309 31ST AVE E
SEATTLE
(47.621688, -122.292336)"
EDWIN R OPSTAD ELEMENTARY,"1345 STILLSON AVE SE, NORTH BEND, WA",2016-17,SNOQUALMIE VALLEY SCHOOL DISTRICT,Y,PK-5,551,86.2,5.4,0.9,4.5,0,0,2.4,2.4,3.6,2.9,4,4.7,"1345 STILLSON AVE SE
NORTH BEND
(47.480346, -121.766986)"
BELL ELEMENTARY,"11212 NE 112TH, KIRKLAND, WA",2016-17,LAKE WASHINGTON SCHOOL DISTRICT,Y,K -5,382,86.9,8.9,2.6,5.5,0.5,0.5,5.2,5.5,5.5,5.8,5.2,7.1,"11212 NE 112TH
KIRKLAND
(47.700319, -122.192825)"
VILLA ACADEMY,"5001 NE 50TH ST, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,P-8,359,96.7,3.1,0.6,2.5,0,0,0.8,0.8,0.8,1.4,1.9,1.4,"5001 NE 50TH ST
SEATTLE
(47.6640258, -122.2732757)"
RAISBECK AVIATION HIGH SCHOOL,"9229 E. MARGINAL WAY S, TUKWILA, WA",2016-17,HIGHLINE SCHOOL DISTRICT,Y,9-12,409,94.1,3.7,0.5,2.4,0.7,0,2,2,2,2.2,2.4,2.2,"9229 E. MARGINAL WAY S
TUKWILA
(47.5207535, -122.300565)"
ROSE HILL ELEMENTARY,"8044 128TH AVE NE, KIRKLAND, WA",2016-17,LAKE WASHINGTON SCHOOL DISTRICT,Y,K -5,455,87.9,4.8,1.3,3.5,0,0.2,2.9,2.9,3.5,3.3,3.5,3.5,"8044 128TH AVE NE
KIRKLAND
(47.6756173, -122.1692642)"
WHITTIER ELEMENTARY SCHOOL,"1320 NW 75 ST, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,K -5,477,87.8,8.6,4.6,5.2,0.2,0,2.5,2.5,3.4,2.9,5,6.3,"1320 NW 75 ST
SEATTLE
(47.6836772, -122.3733987)"
NOVA HIGH SCHOOL,"300 20 AVE E, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,9-12,328,51.5,15.2,8.8,10.7,0.9,0,7.3,6.7,8.5,6.4,9.1,14.6,"300 20 AVE E
SEATTLE
(47.6226743, -122.3054674)"
STEVENSON ELEMENTARY,"14220 NE 8TH STREET, BELLEVUE, WA",2016-17,BELLEVUE SCHOOL DISTRICT,Y,K -5,568,76.2,3.2,1.6,1.6,0,0,0.7,0.7,0.7,0.5,0.9,2.3,"14220 NE 8TH STREET
BELLEVUE
(47.6181265, -122.1503396)"
EASTSIDE CHRISTIAN SCHOOL,"14615 SE 22ND ST, BELLEVUE, WA",2016-17,BELLEVUE SCHOOL DISTRICT,Y,P-8,245,65.7,3.7,0.8,2.4,0.8,0,2.4,2.4,2.4,2.4,3.3,3.3,"14615 SE 22ND ST
BELLEVUE
(47.590212, -122.1451498)"
SHOREWOOD CHRISTIAN SCHOOL,"10300 28TH AVE SW, SEATTLE, WA",2016-17,HIGHLINE SCHOOL DISTRICT,Y,P-12,110,60.9,12.7,0.9,10.9,0.9,0,12.7,12.7,12.7,12.7,12.7,12.7,"10300 28TH AVE SW
SEATTLE
(47.5107534, -122.3676691)"
WOODIN ELEMENTARY,"12950 NE 195 ST, BOTHELL, WA",2016-17,NORTHSHORE SCHOOL DISTRICT,Y,PK-6,621,81.3,5.2,0.8,4.5,0,0,3.7,3.7,3.9,4,4,4.2,"12950 NE 195 ST
BOTHELL
(47.7681382, -122.1676646)"
WELLINGTON ELEMENTARY,"16501 NE 195 ST, WOODINVILLE, WA",2016-17,NORTHSHORE SCHOOL DISTRICT,Y,K -6,528,93.2,6.4,0.6,5.7,0.2,0,4,4,4.2,4.2,5.3,4.9,"16501 NE 195 ST
WOODINVILLE
(47.7687236, -122.1194343)"
SOOS CREEK ELEMENTARY SCHOOL,"12651 SE 218TH PLACE, KENT, WA",2016-17,KENT SCHOOL DISTRICT,Y,K -6,365,92.3,2.5,1.1,0.8,0.5,0,1.1,0.8,1.1,0.8,1.4,1.4,"12651 SE 218TH PLACE
KENT
(47.406208, -122.1714913)"
MELVIN G SYRE ELEMENTARY,"19545 12TH AVENUE NW, SHORELINE, WA",2016-17,SHORELINE SCHOOL DISTRICT,Y,K -6,523,95.6,4.2,0.4,3.8,0,0,1.9,1.9,1.9,1.9,3.1,2.1,"19545 12TH AVENUE NW
SHORELINE
(47.771956, -122.372734)"
HOLY NAMES ACADEMY,"728 21ST AVE E, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,9-12,704,97.2,2.8,0.6,2.3,0,0,1.3,1.4,1.1,1.4,2.3,1.4,"728 21ST AVE E
SEATTLE
(47.626021, -122.304179)"
UNIVERSITY CHILD DEVELOPMENT SCHOOL,"5062 9TH AVE NE, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,P-5,264,92.8,5.3,0,5.3,0,0,1.1,1.1,2.7,1.9,4.2,4.9,"5062 9TH AVE NE
SEATTLE
(47.6659918, -122.3184284)"
FRENCH-AM SCHOOL OF PUGET SOUND,"3795 E MERCER WAY, MERCER ISLAND, WA",2016-17,MERCER ISLAND SCHOOL DISTRICT,Y,P-8,356,59.8,1.7,0.8,0.8,0,0,0.3,0.8,0,0.6,1.4,0.6,"3795 E MERCER WAY
MERCER ISLAND
(47.5765852, -122.2071806)"
ROOSEVELT HIGH SCHOOL,"1410 NE 66 ST, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,9-12,1751,79,14.5,11.6,4.6,0.1,0.1,2.5,2.4,2.9,2.7,3.9,13.3,"1410 NE 66 ST
SEATTLE
(47.6772189, -122.3126438)"
CHINOOK MIDDLE SCHOOL,"18650 42ND AVE S, SEATAC, WA",2016-17,HIGHLINE SCHOOL DISTRICT,Y,7-8,562,94.5,1.8,0.9,0.7,0.2,0,0,0,0.5,0.4,0,0.9,"18650 42ND AVE S
SEATAC
(47.4351601, -122.2816529)"
THE GEMINI SCHOOL,"2227 112TH AVE NE, BELLEVUE, WA",2016-17,BELLEVUE SCHOOL DISTRICT,N,K-12,0,,,,,,,,,,,,,"2227 112TH AVE NE
BELLEVUE
(47.630455, -122.192491)"
SEATTLE NATIVITY SCHOOL,"2800 S MASSACHUSETTS ST, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,6-8,36,83.3,0,0,0,0,0,0,0,0,0,0,0,"2800 S MASSACHUSETTS ST
SEATTLE
(47.588861, -122.2965335)"
LOCKWOOD ELEMENTARY,"24118 LOCKWOOD RD, BOTHELL, WA",2016-17,NORTHSHORE SCHOOL DISTRICT,Y,K -6,642,85.8,5.9,0.6,5.5,0.2,0,3.7,3.7,4,4,4.4,4.7,"24118 LOCKWOOD RD
BOTHELL
(47.7781648, -122.2558088)"
CLYDE HILL ELEMENTARY,"9601 NE 24TH STREET, BELLEVUE, WA",2016-17,BELLEVUE SCHOOL DISTRICT,Y,K -5,664,82.1,6.2,0.8,5.6,0,0,2.4,2.4,2.7,2.9,3.6,5,"9601 NE 24TH STREET
BELLEVUE
(47.6310073, -122.211298)"
MARTIN LUTHER KING JR. ELEMENTARY SCHOOL,"7740 34 AVE SW, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,PK-5,292,90.8,1.7,1.7,0.3,0,0,0,0,0.3,0.7,0.3,0.7,"7740 34 AVE SW
SEATTLE
(47.5327938, -122.3747815)"
SOUTHERN HEIGHTS ELEMENTARY,"11249 14TH AVE S, SEATTLE, WA",2016-17,HIGHLINE SCHOOL DISTRICT,Y,PK-6,304,94.1,1,0.3,0.7,0,0,0.3,1,1,0.3,0.7,1,"11249 14TH AVE S
SEATTLE
(47.5019886, -122.3156924)"
PRIVETT ACADEMY,"9311 SE 36TH ST, MERCER ISLAND, WA",2016-17,MERCER ISLAND SCHOOL DISTRICT,Y,6-12,12,100,0,0,0,0,0,0,0,0,0,0,0,"9311 SE 36TH ST
MERCER ISLAND
(47.5776669, -122.2128561)"
FAIRWOOD ELEMENTARY SCHOOL,"16600 148TH AVE SE, RENTON, WA",2016-17,KENT SCHOOL DISTRICT,Y,K -6,372,97,2.7,0,2.4,0.3,0,1.3,1.3,1.3,1.3,1.6,2.2,"16600 148TH AVE SE
RENTON
(47.4533714, -122.1414635)"
DES MOINES ELEMENTARY,"22001 9TH AVE S, DES MOINES, WA",2016-17,HIGHLINE SCHOOL DISTRICT,Y,K -6,386,95.9,1.3,0.3,1,0,0,1.3,1.3,1.3,1.3,1.3,1.3,"22001 9TH AVE S
DES MOINES
(47.404714, -122.323188)"
BEVERLY PARK ELEM AT GLENDALE,"1201 S 104TH ST, SEATTLE, WA",2016-17,HIGHLINE SCHOOL DISTRICT,Y,PK-6,422,97.2,0.5,0.2,0.2,0,0,0.2,0,0.5,0.2,0.5,0.2,"1201 S 104TH ST
SEATTLE
(47.5096805, -122.317407)"
SHADOW LAKE ELEMENTARY,"22620 SWEENEY ROAD SE, MAPLE VALLEY, WA",2016-17,TAHOMA SCHOOL DISTRICT,Y,PK-5,637,90.3,6.4,1.1,4.9,0.3,0.2,3.5,3.8,3.9,3.9,4.4,5.5,"22620 SWEENEY ROAD SE
MAPLE VALLEY
(47.3989967, -122.0469265)"
SPRING VALLEY MONTESSORI,"36605 PACIFIC HWY S, FEDERAL WAY, WA",2016-17,FEDERAL WAY SCHOOL DISTRICT,N,P-8,0,,,,,,,,,,,,,"36605 PACIFIC HWY S
FEDERAL WAY
(47.27377, -122.3289586)"
ST. PAUL SCHOOL,"10001 57TH AVE S, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,P-8,127,85.8,0,0,0,0,0,0,0,0,0,0,0,"10001 57TH AVE S
SEATTLE
(47.5105328, -122.2626654)"
BRIGHTMONT ACADEMY--BELLEVUE CAMPUS,"12360 NE 8TH ST, BELLEVUE, WA",2016-17,BELLEVUE SCHOOL DISTRICT,Y,6-12,10,100,0,0,0,0,0,0,0,0,0,0,0,"12360 NE 8TH ST
BELLEVUE
(47.6176776, -122.1753923)"
TOTEM MIDDLE SCHOOL,"26630 40TH AVE S, KENT, WA",2016-17,FEDERAL WAY SCHOOL DISTRICT,Y,6-8,679,88.2,1.5,0.3,1,0.1,0,1,1,0.6,0.9,0.9,1.2,"26630 40TH AVE S
KENT
(47.3622183, -122.2816115)"
KENMORE ELEMENTARY,"19121 71 AV NE, KENMORE, WA",2016-17,NORTHSHORE SCHOOL DISTRICT,Y,K -6,558,93.7,3.9,0.7,3.6,0,0,2.7,2.7,2.9,2.7,2.9,3.6,"19121 71 AV NE
KENMORE
(47.7675012, -122.2438557)"
ARBOR SCHOOLS,"1107 228TH AVE SE, SAMMAMISH, WA",2016-17,ISSAQUAH SCHOOL DISTRICT,Y,P-9,52,82.7,17.3,5.8,11.5,0,0,7.7,7.7,9.6,7.7,5.8,13.5,"1107 228TH AVE SE
SAMMAMISH
(47.5996923, -122.0361285)"
JING MEI ELEMENTARY SCHOOL,"301 151ST PLACE NE, BELLEVUE, WA",2016-17,BELLEVUE SCHOOL DISTRICT,Y,K-2,327,90.5,4,0.9,3.1,0,0,1.2,1.2,0.6,1.2,2.8,2.8,"301 151ST PLACE NE
BELLEVUE
(47.6122616, -122.1386016)"
DISCOVERY SCHOOL,"12801 84TH NE, KIRKLAND, WA",2016-17,LAKE WASHINGTON SCHOOL DISTRICT,Y,K -5,73,76.7,21.9,6.8,16.4,0,0,8.2,11,13.7,11,13.7,12.3,"12801 84TH NE
KIRKLAND
(47.7165516, -122.2307081)"
NORTHGATE ELEMENTARY SCHOOL,"11725 1 AV NE, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,PK-5,291,68.4,1.4,0.7,0.7,0,0,0.7,0.7,1.4,0.7,0.7,1.4,"11725 1 AV NE
SEATTLE
(47.7147167, -122.329337)"
CEDAR PARK CHRISTIAN SCHOOL--BELLEVUE CAMPUS,"625 140TH AVE NE, BELLEVUE, WA",2016-17,BELLEVUE SCHOOL DISTRICT,Y,P-5,33,81.8,18.2,0,18.2,0,0,18.2,18.2,18.2,18.2,18.2,18.2,"625 140TH AVE NE
BELLEVUE
(47.6162223, -122.1540901)"
LAKERIDGE ELEMENTARY SCHOOL,"7400 S 115TH ST, SEATTLE, WA",2016-17,RENTON SCHOOL DISTRICT,Y,K -5,411,94.6,3.6,1.2,2.2,0.2,0,1.5,1.2,2.4,1.9,1.5,1.7,"7400 S 115TH ST
SEATTLE
(47.4998775, -122.240073)"
NORTH BEND MONTESSORI INC,"248 BALLARAT AVE N, NORTH BEND, WA",2016-17,SNOQUALMIE VALLEY SCHOOL DISTRICT,N,P-1,0,,,,,,,,,,,,,"248 BALLARAT AVE N
NORTH BEND
(47.49559, -121.782816)"
ILALKO ELEMENTARY SCHOOL,"301 ORAVETZ PL SE, AUBURN, WA",2016-17,AUBURN SCHOOL DISTRICT,Y,PK-5,614,91.4,3.4,1.1,2.1,0.2,0,2.6,2.6,2.9,2.6,2.4,3.3,"301 ORAVETZ PL SE
AUBURN
(47.264168, -122.227083)"
KIRKLAND MIDDLE SCHOOL,"430 18TH AVE, KIRKLAND, WA",2016-17,LAKE WASHINGTON SCHOOL DISTRICT,Y,6-8,589,85.6,8.7,1.4,7.5,0,0,4.1,3.7,5.3,4.2,4.4,6.1,"430 18TH AVE
KIRKLAND
(47.690528, -122.199663)"
BILLINGS MIDDLE SCHOOL,"7217 WOODLAWN AVE NE, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,6-8,97,92.8,5.2,0,4.1,0,1,3.1,4.1,2.1,3.1,5.2,2.1,"7217 WOODLAWN AVE NE
SEATTLE
(47.680883, -122.325246)"
BROOKLAKE CHRISTIAN SCHOOL,"629 S 356TH ST, FEDERAL WAY, WA",2016-17,FEDERAL WAY SCHOOL DISTRICT,Y,P-6,64,43.8,6.3,0,6.3,0,0,6.3,6.3,6.3,6.3,6.3,6.3,"629 S 356TH ST
FEDERAL WAY
(47.2825602, -122.3253252)"
FERNWOOD ELEMENTARY,"3933 JEWELL RD, BOTHELL, WA",2016-17,NORTHSHORE SCHOOL DISTRICT,Y,K -6,965,92.3,2.8,0.1,2.7,0,0,0.7,0.7,1,0.6,1.8,1.9,"3933 JEWELL RD
BOTHELL
(47.819456, -122.179396)"
WHITE CENTER HEIGHTS ELEMENTARY,"10015 6TH AVENUE SW, SEATTLE, WA",2016-17,HIGHLINE SCHOOL DISTRICT,Y,PK-6,599,93.5,0.8,0,0.5,0.3,0,0.8,0.8,0.8,0.8,0.8,0.8,"10015 6TH AVENUE SW
SEATTLE
(47.5131739, -122.3438579)"
ENTERPRISE ELEMENTARY SCHOOL,"35101 5TH AVE SW, FEDERAL WAY, WA",2016-17,FEDERAL WAY SCHOOL DISTRICT,Y,PK-5,420,92.9,3.3,0,3.1,0,0.2,2.9,2.9,2.9,2.9,3.1,3.1,"35101 5TH AVE SW
FEDERAL WAY
(47.2869457, -122.3412703)"
ETON SCHOOL,"2701 BEL-RED RD, BELLEVUE, WA",2016-17,BELLEVUE SCHOOL DISTRICT,Y,P-8,181,93.4,2.8,0.6,0.6,1.7,0,2.2,2.2,2.2,2.8,2.8,2.8,"2701 BEL-RED RD
BELLEVUE
(47.634557, -122.128355)"
LAKOTA MIDDLE SCHOOL,"1415 SW 314TH ST, FEDERAL WAY, WA",2016-17,FEDERAL WAY SCHOOL DISTRICT,Y,6-8,760,68.2,4.6,0.9,3.3,2.8,0,3.6,3.6,2.4,2.1,1.6,2.8,"1415 SW 314TH ST
FEDERAL WAY
(47.320022, -122.354372)"
PACIFIC CREST SCHOOLS,"600 NW BRIGHT ST, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,P-8,212,54.2,4.2,0,4.2,0,0,1.9,1.9,4.2,2.8,4.2,2.8,"600 NW BRIGHT ST
SEATTLE
(47.6602841, -122.3643107)"
APPLIED SCHOLASTICS ACADEMY OF SEATTLE,"520 NE RAVENNA BLVD, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,K-6,15,33.3,20,0,20,0,0,20,20,20,20,20,20,"520 NE RAVENNA BLVD
SEATTLE
(47.677346, -122.322191)"
STAR LAKE ELEMENTARY SCHOOL,"4014 S 270TH, KENT, WA",2016-17,FEDERAL WAY SCHOOL DISTRICT,Y,PK-5,436,98.2,1.8,0,1.8,0,0,1.6,1.6,1.4,1.4,1.1,1.6,"4014 S 270TH
KENT
(47.3603727, -122.2822003)"
MEADOW RIDGE ELEMENTARY SCHOOL,"27710 108TH AVE SE, KENT, WA",2016-17,KENT SCHOOL DISTRICT,Y,K -6,514,89.7,3.5,1,2.3,0.2,0.2,2.5,2.3,2.1,2.1,2.1,3.1,"27710 108TH AVE SE
KENT
(47.3532534, -122.1957428)"
SAWYER WOODS ELEMENTARY SCHOOL,"31135 228TH AVE SE, BLACK DIAMOND, WA",2016-17,KENT SCHOOL DISTRICT,Y,K -6,461,94.8,2.8,0.4,2.4,0,0,2.2,2.2,2,2.2,2.4,2.2,"31135 228TH AVE SE
BLACK DIAMOND
(47.3235434, -122.0396884)"
QUEEN ANNE ELEMENTARY,"4400 INTERLAKE AVE N, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,K -5,422,86,10.4,5.2,5.7,0.5,0,3.1,3.1,3.8,5.2,5.9,8.8,"4400 INTERLAKE AVE N
SEATTLE
(47.6599142, -122.3400034)"
LIVING MONTESSORI ACADEMY,"2445 140TH AVE NE, BELLEVUE, WA",2016-17,BELLEVUE SCHOOL DISTRICT,Y,P-3,32,100,0,0,0,0,0,0,0,0,0,0,0,"2445 140TH AVE NE
BELLEVUE
(47.6325714, -122.1544308)"
LIBERTY SR HIGH SCHOOL,"16655 SE 136TH ST, RENTON, WA",2016-17,ISSAQUAH SCHOOL DISTRICT,Y,9-12,1286,95.8,3.9,0.8,3,0,0.1,2.6,1.8,1.6,1.6,2.3,2.6,"16655 SE 136TH ST
RENTON
(47.4792114, -122.1177091)"
RAINIER PREP,"10211 12TH AVE S, SEATTLE, WA",2016-17,CHARTER,Y,5-8,246,76.8,0.4,0,0.4,0,0,0.4,0.4,0.4,0.4,0.4,0.4,"10211 12TH AVE S
SEATTLE
(47.511839, -122.350255)"
ST. MADELEINE SOPHIE SCHOOL,"4400 130TH PL SE, BELLEVUE, WA",2016-17,BELLEVUE SCHOOL DISTRICT,Y,P-8,181,93.9,6.1,1.7,4.4,0,0,2.8,2.8,1.7,1.1,3.3,1.7,"4400 130TH PL SE
BELLEVUE
(47.566617, -122.165532)"
MATTSON MIDDLE SCHOOL,"16400 SE 251ST ST, COVINGTON, WA",2016-17,KENT SCHOOL DISTRICT,Y,7-8,634,91.6,5.4,1.3,3.8,0.5,0.2,3.3,3,2.4,2.1,2.5,3.5,"16400 SE 251ST ST
COVINGTON
(47.3768883, -122.1147222)"
TWIN FALLS MIDDLE SCHOOL,"46910 S.E. MIDDLE FORK ROAD, NORTH BEND, WA",2016-17,SNOQUALMIE VALLEY SCHOOL DISTRICT,Y,6-8,791,87.4,8.3,0.4,7.8,0.1,0,4.8,4.7,5.1,5.3,4.8,7.2,"46910 S.E. MIDDLE FORK ROAD
NORTH BEND
(47.47445, -121.713679)"
SNOQUALMIE ELEMENTARY,"755 PARK ST, SNOQUALMIE, WA",2016-17,SNOQUALMIE VALLEY SCHOOL DISTRICT,Y,PK-5,546,89.7,7.7,1.5,6.4,0,0,3.8,3.8,6,5.1,5.9,6.8,"755 PARK ST
SNOQUALMIE
(47.492771, -121.782356)"
BALLARD HIGH SCHOOL,"1418 NW 65 ST, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,9-12,1856,62.6,14.8,11.2,6.8,0.2,0,3.7,3.4,3.7,2.9,5.8,13.7,"1418 NW 65 ST
SEATTLE
(47.676859, -122.374338)"
LES LILAS FRENCH BILINGUAL COMMUNITY SCHOOL,"6601 132ND AVE NE, KIRKLAND, WA",2016-17,LAKE WASHINGTON SCHOOL DISTRICT,Y,PK-2,7,100,0,0,0,0,0,0,0,0,0,0,0,"6601 132ND AVE NE
KIRKLAND
(47.665343, -122.164153)"
VIEW RIDGE ELEMENTARY SCHOOL,"7047 50 AV NE, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,PK-5,573,92.1,4.5,2.8,2.1,0.2,0.2,1.2,1.2,1.9,2.6,2.1,3.5,"7047 50 AV NE
SEATTLE
(47.6806999, -122.2764998)"
THE BUSH SCHOOL,"3400 E HARRISON, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,K-12,655,96.5,3.5,0.6,2.9,0,0,1.7,1.7,2,2,1.8,2,"3400 E HARRISON
SEATTLE
(47.6227457, -122.2887334)"
EARLY WORLD MONTESSORI,"3027 80TH AVENUE SE, MERCER ISLAND, WA",2016-17,MERCER ISLAND SCHOOL DISTRICT,Y,K+,15,100,0,0,0,0,0,0,0,0,0,0,0,"3027 80TH AVENUE SE
MERCER ISLAND
(47.582823, -122.232086)"
SUNSHINE MOUNTAIN CHRISTIAN,"25125 132ND AVE SE, KENT, WA",2016-17,KENT SCHOOL DISTRICT,Y,PK-K,30,83.3,16.7,0,16.7,0,0,13.3,13.3,16.7,13.3,13.3,16.7,"25125 132ND AVE SE
KENT
(47.3762636, -122.1659081)"
ALPAC ELEMENTARY SCHOOL,"310 MILWAUKEE BLVD N, PACIFIC, WA",2016-17,AUBURN SCHOOL DISTRICT,Y,PK-5,575,91.7,5.6,0.7,4.3,0.5,0,4.9,4.9,4.9,5,4.5,5,"310 MILWAUKEE BLVD N
PACIFIC
(47.270534, -122.250092)"
BYRON KIBLER ELEMENTARY SCHOOL,"2057 KIBLER AVE, ENUMCLAW, WA",2016-17,ENUMCLAW SCHOOL DISTRICT,Y,K -5,444,93,5.9,2.3,3.4,0,0.2,3.8,3.8,4.1,3.6,3.6,4.7,"2057 KIBLER AVE
ENUMCLAW
(47.208296, -121.9952317)"
ENATAI ELEMENTARY SCHOOL,"10615 SE 23RD STREET, BELLEVUE, WA",2016-17,BELLEVUE SCHOOL DISTRICT,Y,K -5,568,75.5,5.6,0.9,4.9,0,0,0.9,0.9,1.2,1.6,3,5.5,"10615 SE 23RD STREET
BELLEVUE
(47.589447, -122.1982869)"
MMSC DAY SCHOOL,"8511 15TH AVENUE NE, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,P-12,51,62.7,3.9,0,3.9,0,0,3.9,3.9,3.9,3.9,3.9,3.9,"8511 15TH AVENUE NE
SEATTLE
(47.6907236, -122.3130287)"
LAFAYETTE ELEMENTARY SCHOOL,"2645 CALIFORNIA AV SW, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,K -5,443,89.2,8.8,1.4,7.2,0.7,0.2,4.1,4.1,4.7,5.9,6.3,6.5,"2645 CALIFORNIA AV SW
SEATTLE
(47.5797406, -122.3870508)"
PANTHER LAKE ELEMENTARY SCHOOL,"10200 SE 216TH ST, KENT, WA",2016-17,KENT SCHOOL DISTRICT,Y,K -6,674,93.6,3.7,0.6,3.1,0,0,2.5,2.7,3.1,2.5,2.2,3.3,"10200 SE 216TH ST
KENT
(47.409822, -122.204822)"
ST. JOHN SCHOOL,"120 N 79TH ST, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,P-8,464,89,1.9,0.2,1.7,0,0,0.4,0.4,0.4,0.4,1.5,1.9,"120 N 79TH ST
SEATTLE
(47.6864164, -122.3570951)"
SUNNYCREST ELEMENTARY SCHOOL,"24629 42ND AV S, KENT, WA",2016-17,FEDERAL WAY SCHOOL DISTRICT,Y,PK-5,612,90.5,3.6,1.8,1.5,0,0.3,1.6,1.6,1.6,1.5,2.1,2.8,"24629 42ND AV S
KENT
(47.3810201, -122.2816327)"
THE BRIDGE SCHOOL,"1005 SW 152ND ST, BURIEN, WA",2016-17,HIGHLINE SCHOOL DISTRICT,N,K-5,0,,,,,,,,,,,,,"1005 SW 152ND ST
BURIEN
(47.466296, -122.347695)"
DECATUR HIGH SCHOOL,"2800 SW 320TH ST, FEDERAL WAY, WA",2016-17,FEDERAL WAY SCHOOL DISTRICT,Y,9-12,1419,88.6,2.5,0.1,2.4,0.1,0,1.3,1.4,1.5,1.5,1.7,1.3,"2800 SW 320TH ST
FEDERAL WAY
(47.3170444, -122.3678469)"
SALMON BAY K-8 SCHOOL,"1810 NW 65 ST, SEATTLE, WA",2016-17,SEATTLE PUBLIC SCHOOLS,Y,K -8,658,75.4,16.6,5.2,15.3,0,0,4.4,4.3,6.1,6.7,11.6,14.3,"1810 NW 65 ST
SEATTLE
(47.6766893, -122.3805804)"
BEL-RED BILINGUAL ACADEMY,"15061 BEL-RED RD, BELLEVUE, WA",2016-17,BELLEVUE SCHOOL DISTRICT,Y,P-3,48,100,0,0,0,0,0,0,0,0,0,0,0,"15061 BEL-RED RD
BELLEVUE
(47.6272137, -122.1379295)"
HOLLYWOOD HILL ELEMENTARY,"17110 148 AV NE, WOODINVILLE, WA",2016-17,NORTHSHORE SCHOOL DISTRICT,Y,K -6,355,90.4,7.3,1.1,6.5,0,0,4.5,4.5,5.4,4.5,5.6,6.2,"17110 148 AV NE
WOODINVILLE
(47.7517748, -122.1391508)"
RAINIER CHRISTIAN HIGH SCHOOL,"19830 SE 328TH PL, AUBURN, WA",2016-17,AUBURN SCHOOL DISTRICT,Y,9-12,94,71.3,28.7,0,28.7,0,0,69.1,0,69.1,69.1,66,0,"19830 SE 328TH PL
AUBURN
(47.3086851, -122.0724392)"
GREGORY HEIGHTS ELEMENTARY,"16201 16TH AVE SW, BURIEN, WA",2016-17,HIGHLINE SCHOOL DISTRICT,Y,PK-6,675,93.3,1.2,0,1.2,0,0,0.3,0.3,0.4,0.4,0.6,0.4,"16201 16TH AVE SW
BURIEN
(47.4579445, -122.3559476)"
THREE TREE MONTESSORI,"220 SW 160TH ST, BURIEN, WA",2016-17,HIGHLINE SCHOOL DISTRICT,N,P-6,0,,,,,,,,,,,,,"220 SW 160TH ST
BURIEN
(47.460198, -122.336812)"
PARKWOOD ELEMENTARY,"1815 N. 155TH STREET, SHORELINE, WA",2016-17,SHORELINE SCHOOL DISTRICT,Y,K -6,450,94.4,4.2,0.9,2.9,0.4,0.2,2.4,2.7,2,2.9,2.4,3.1,"1815 N. 155TH STREET
SHORELINE
(47.7401965, -122.3363933)"
